time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.02806926,5,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09964484,-1.64970872,-3.09925380,-0.00063794,1.49536264,-0.00012500,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,-0.00114441,-0.00089441,-0.00038147,-0.02441406
0.04239058,10,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09957098,-1.64954064,-3.09916976,-0.00072198,1.49376588,-0.00004096,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.50023556,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,0.02929688,0.00000000,-0.00114441,-0.00116015,-0.00038147,-0.02441406
0.05689645,15,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09960781,-1.64948556,-3.09914222,-0.00074952,1.49324265,-0.00001342,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49985409,-0.00038147,-0.00976562,-0.00488281,0.00488281,-0.01464844,-0.01464844,-0.01464844,-0.00152588,-0.00156485,-0.00038147,-0.02441406
0.07154083,20,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09955884,-1.64946752,-3.09913320,-0.00075854,1.49307120,-0.00000440,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49947262,-0.00038147,-0.00488281,-0.00488281,-0.00000000,-0.01464844,-0.02929688,-0.01464844,-0.00114441,-0.00128218,-0.00038147,0.00000000
0.08499336,25,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09954280,-1.64946160,-3.09913024,-0.00076150,1.49301502,-0.00000144,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49870968,-0.00038147,-0.00488281,-0.00976562,0.00488281,-0.01464844,-0.04394531,-0.02929688,-0.00114441,-0.00118955,-0.00038147,-0.02441406
0.10001802,30,3.09991645,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09961383,-1.64945966,-3.09912927,-0.00076247,1.49299661,-0.00000047,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49718381,-0.00038147,-0.00488281,-0.00488281,-0.00000000,0.00000000,-0.05859375,-0.01464844,-0.00114441,-0.00115920,-0.00038147,0.00000000
0.11658311,35,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09956082,-1.64945903,-3.09912896,-0.00076278,1.49299058,-0.00000015,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49642087,-0.00038147,-0.00488281,-0.00488281,0.00976562,-0.02929688,-0.01464844,0.00000000,-0.00114441,-0.00127133,-0.00038147,-0.02441406
0.13090348,40,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09954344,-1.64945882,-3.09912885,-0.00076289,1.49298860,-0.00000005,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49603940,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,-0.00000000,-0.02929688,-0.00152588,-0.00133859,-0.00038147,-0.02441406
0.14581132,45,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09953775,-1.64945875,-3.09912882,-0.00076292,1.49298795,-0.00000002,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49642087,-0.00038147,-0.00488281,-0.00976562,0.00488281,-0.01464844,0.02929688,-0.01464844,-0.00114441,-0.00133011,-0.00038147,0.00000000
0.16256595,50,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09953589,-1.64945873,-3.09912881,-0.00076293,1.49298774,-0.00000001,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49642087,-0.00038147,0.00000000,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,-0.00114441,-0.00120526,-0.00038147,-0.04882812
0.17951465,55,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09953527,-1.64945872,-3.09912880,-0.00076294,1.49298767,-0.00000000,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49642087,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,-0.00114441,-0.00116435,-0.00038147,-0.04882812
0.19209838,60,3.09953498,-1.69981272,-3.09912880,-0.00038147,1.49298764,0.00000000,3.09953507,-1.64945872,-3.09912880,-0.00064758,1.49298765,-0.00000000,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49603940,-0.00038147,-0.00976562,-0.00488281,0.00488281,-0.02929688,-0.00000000,-0.01464844,-0.00114441,-0.00132672,-0.00038147,-0.02441406
0.20831633,65,3.09953498,-1.69981272,-3.09912880,-0.00076294,1.49298764,0.00000000,3.09953501,-1.64945872,-3.09912880,-0.00066410,1.49298764,-0.00000000,3.09953498,-1.65022166,-3.09951027,-0.00038147,1.49603940,-0.00038147,-0.00488281,-0.00488281,0.00488281,-0.01464844,-0.00000000,-0.01464844,-0.00152588,-0.00135674,-0.00038147,-0.02441406
