camera_time_s,system_time_s,detection_time_s,color_frame_number,detection_index,class_id,class_name,confidence,x1,y1,x2,y2,center_u,center_v,depth_z_m,x_m,y_m,z_m,range_m,inference_ms
0.13263893,1783690114.00416780,0.41597199,1325,0,41,cup,0.484697,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,266.283
0.46878600,1783690114.34031487,0.82488298,1335,0,41,cup,0.570983,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,323.107
1.23098660,1783690115.10251546,1.52214146,1358,0,41,cup,0.397009,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,270.953
1.56683564,1783690115.43836451,1.87306333,1368,0,41,cup,0.405155,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,256.264
1.93277717,1783690115.80430603,2.19202495,1379,0,41,cup,0.506066,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,239.936
2.23256636,1783690116.10409522,2.58711290,1388,0,41,cup,0.390061,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,309.195
2.63526630,1783690116.50679517,2.94779754,1400,0,41,cup,0.439990,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,273.023
3.00389409,1783690116.87542295,3.34123015,1411,0,41,cup,0.560875,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,300.287
3.40283537,1783690117.27436423,3.77379227,1423,0,41,cup,0.473904,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,334.786
4.16955805,1783690118.04108691,4.45706177,1446,0,41,cup,0.379347,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,263.150
4.50089788,1783690118.37242675,4.84020877,1456,0,41,cup,0.465964,232,331,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,287.356
4.90261006,1783690118.77413893,5.21857381,1468,0,41,cup,0.354497,232,332,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,302.336
8.83714318,1783690122.70867205,9.11124921,1586,0,41,cup,0.351809,232,332,353,479,292,405,0.240000,-0.013005,0.064669,0.240000,0.248900,224.304
