frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.00503278,1785745682.03022504,331753.88492340,1785745681951.0188,946,teach_record_20260803_162802_color.mp4
1,0.05113387,1785745682.07632613,331753.93056900,1785745681984.3738,947,teach_record_20260803_162802_color.mp4
2,0.07097387,1785745682.09616613,331753.95062510,1785745682017.7290,948,teach_record_20260803_162802_color.mp4
3,0.10487223,1785745682.13006449,331753.98430170,1785745682051.0840,949,teach_record_20260803_162802_color.mp4
4,0.13799024,1785745682.16318250,331754.01730700,1785745682084.4392,950,teach_record_20260803_162802_color.mp4
5,0.17064261,1785745682.19583488,331754.05019250,1785745682117.7942,951,teach_record_20260803_162802_color.mp4
6,0.20625114,1785745682.23144341,331754.08584670,1785745682151.1492,952,teach_record_20260803_162802_color.mp4
7,0.23770165,1785745682.26289392,331754.11715410,1785745682184.5042,953,teach_record_20260803_162802_color.mp4
8,0.27094078,1785745682.29613304,331754.15039430,1785745682217.8594,954,teach_record_20260803_162802_color.mp4
9,0.30464888,1785745682.32984114,331754.18400490,1785745682251.2141,955,teach_record_20260803_162802_color.mp4
10,0.33898735,1785745682.36417961,331754.21823290,1785745682284.5691,956,teach_record_20260803_162802_color.mp4
11,0.37183046,1785745682.39702272,331754.25115370,1785745682317.9241,957,teach_record_20260803_162802_color.mp4
12,0.40302062,1785745682.42821288,331754.28364160,1785745682351.2791,958,teach_record_20260803_162802_color.mp4
13,0.43842697,1785745682.46361923,331754.31844900,1785745682384.6338,959,teach_record_20260803_162802_color.mp4
14,0.47116804,1785745682.49636030,331754.35066600,1785745682417.9888,960,teach_record_20260803_162802_color.mp4
15,0.50504613,1785745682.53023839,331754.38433030,1785745682451.3435,961,teach_record_20260803_162802_color.mp4
16,0.53795147,1785745682.56314373,331754.41812170,1785745682484.6982,962,teach_record_20260803_162802_color.mp4
17,0.57192445,1785745682.59711671,331754.45130660,1785745682518.0532,963,teach_record_20260803_162802_color.mp4
18,0.60469079,1785745682.62988305,331754.48418180,1785745682551.4080,964,teach_record_20260803_162802_color.mp4
19,0.63745117,1785745682.66264343,331754.51709590,1785745682584.7627,965,teach_record_20260803_162802_color.mp4
20,0.67096567,1785745682.69615793,331754.55091530,1785745682618.1174,966,teach_record_20260803_162802_color.mp4
21,0.70522356,1785745682.73041582,331754.58444570,1785745682651.4719,967,teach_record_20260803_162802_color.mp4
22,0.73850417,1785745682.76369643,331754.61787050,1785745682684.8267,968,teach_record_20260803_162802_color.mp4
23,0.77210665,1785745682.79729891,331754.65158910,1785745682718.1814,969,teach_record_20260803_162802_color.mp4
24,0.80364585,1785745682.82883811,331754.68387480,1785745682751.5359,970,teach_record_20260803_162802_color.mp4
25,0.83796501,1785745682.86315727,331754.71847300,1785745682784.8906,971,teach_record_20260803_162802_color.mp4
26,0.87080574,1785745682.89599800,331754.75079590,1785745682818.2451,972,teach_record_20260803_162802_color.mp4
27,0.90621233,1785745682.93140459,331754.78541070,1785745682851.6035,973,teach_record_20260803_162802_color.mp4
28,0.93875241,1785745682.96394467,331754.81815370,1785745682884.9583,974,teach_record_20260803_162802_color.mp4
