time_s,loop_count,master_q1,master_q2,master_q3,master_q4,master_q5,master_q6,slave_target_q1,slave_target_q2,slave_target_q3,slave_target_q4,slave_target_q5,slave_target_q6,slave_actual_q1,slave_actual_q2,slave_actual_q3,slave_actual_q4,slave_actual_q5,slave_actual_q6,slave_actual_v1,slave_actual_v2,slave_actual_v3,slave_actual_v4,slave_actual_v5,slave_actual_v6,master_tool,slave_tool_target,slave_tool_actual,slave_tool_actual_vel
0.02238774,5,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59195804,-2.79769897,3.11021613,2.73430264,-1.59284926,-0.04310608,-1.57868631,-2.20260620,3.11021613,2.72942971,-1.59079750,-0.04348755,-1.58394718,-2.20298767,-0.00488281,-0.00488281,0.00488281,-0.01464844,0.02929688,-0.02929688,-2.98118591,-0.17668298,-0.17700195,0.02441406
0.03713202,10,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59195804,-2.79769897,3.11021613,2.73589940,-1.59352158,-0.04306702,-1.57688626,-2.20260620,3.11021613,2.72942971,-1.59079750,-0.04348755,-1.58394718,-2.20298767,-0.00488281,-0.00488281,-0.00000000,-0.01464844,0.01464844,-0.01464844,-2.98118591,-0.17664096,-0.17700195,-0.02441406
0.05349088,15,3.13272284,2.72752236,-1.59423073,-0.01869202,-1.59195804,-2.79769897,3.11021613,2.73642262,-1.59374189,-0.04294667,-1.57624759,-2.20260620,3.11021613,2.72942971,-1.59079750,-0.04348755,-1.58394718,-2.20298767,-0.00488281,0.00000000,0.00488281,-0.01464844,0.01464844,-0.01464844,-2.98118591,-0.17662719,-0.17700195,-0.04882812
0.06883001,20,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59233951,-2.79769897,3.11021613,2.73659407,-1.59381408,-0.04300502,-1.57611461,-2.20260620,3.11021613,2.72942971,-1.59079750,-0.04348755,-1.58356571,-2.20298767,-0.00488281,-0.00488281,-0.00000000,0.00000000,0.02929688,-0.01464844,-2.98118591,-0.17662268,-0.17700195,-0.04882812
0.08312821,25,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59195804,-2.79769897,3.11021613,2.73665025,-1.59383773,-0.04298068,-1.57599474,-2.20260620,3.11021613,2.72942971,-1.59079750,-0.04348755,-1.58356571,-2.20298767,-0.00976562,0.00000000,0.00976562,-0.02929688,0.02929688,-0.02929688,-2.98118591,-0.17662120,-0.17662048,-0.02441406
0.09634113,30,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59195804,-2.79769897,3.11021613,2.73666866,-1.59384548,-0.04298491,-1.57595546,-2.20260620,3.11021613,2.72942971,-1.59079750,-0.04348755,-1.58356571,-2.20298767,-0.00976562,0.00000000,0.00488281,-0.01464844,0.02929688,-0.01464844,-2.98118591,-0.17662072,-0.17700195,-0.02441406
0.10930443,35,3.13272284,2.72752236,-1.59423073,-0.01869202,-1.59195804,-2.79769897,3.11021613,2.73667470,-1.59384802,-0.04299008,-1.57594259,-2.20260620,3.11021613,2.72942971,-1.59079750,-0.04348755,-1.58318424,-2.20298767,-0.00976562,0.00000000,0.00488281,-0.01464844,0.02929688,-0.01464844,-2.98118591,-0.17662056,-0.17700195,-0.04882812
0.12415385,40,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59195804,-2.79769897,3.11021613,2.73667667,-1.59384886,-0.04306807,-1.57593837,-2.20260620,3.11021613,2.72942971,-1.59079750,-0.04348755,-1.58318424,-2.20260620,-0.00488281,0.00488281,0.00488281,0.00000000,0.02929688,0.00000000,-2.98118591,-0.17662051,-0.17662048,0.00000000
0.13701820,45,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59195804,-2.79769897,3.11021613,2.73667732,-1.59384913,-0.04309362,-1.57598581,-2.20260620,3.11021613,2.72942971,-1.59079750,-0.04348755,-1.58318424,-2.20298767,-0.00488281,0.00000000,0.00488281,0.00000000,-0.00000000,-0.01464844,-2.98156738,-0.17689515,-0.17662048,-0.02441406
0.15180230,50,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59195804,-2.79769897,3.11021613,2.73667753,-1.59384922,-0.04310200,-1.57610146,-2.20260620,3.11021613,2.72981118,-1.59079750,-0.04348755,-1.58318424,-2.20298767,-0.00488281,0.00000000,0.00488281,0.00000000,0.01464844,-0.02929688,-2.98118591,-0.17671049,-0.17662048,-0.04882812
0.16838646,55,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59233951,-2.79769897,3.11021613,2.73667760,-1.59384925,-0.04310474,-1.57624690,-2.20260620,3.11021613,2.72981118,-1.59079750,-0.04348755,-1.58318424,-2.20260620,-0.00488281,-0.00488281,0.00976562,-0.02929688,0.01464844,-0.01464844,-2.98118591,-0.17664998,-0.17700195,0.00000000
0.18129230,60,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59272098,-2.79769897,3.11021613,2.73667763,-1.59384926,-0.04310564,-1.57637085,-2.20260620,3.11021613,2.72981118,-1.59079750,-0.04348755,-1.58318424,-2.20260620,-0.00488281,-0.00488281,0.00488281,-0.01464844,0.01464844,-0.01464844,-2.98156738,-0.17692336,-0.17700195,-0.04882812
0.19682717,65,3.13272284,2.72752236,-1.59423073,-0.01907349,-1.59310245,-2.79731750,3.11021613,2.73667763,-1.59384926,-0.04310594,-1.57677780,-2.20238098,3.11021613,2.72981118,-1.59079750,-0.04348755,-1.58318424,-2.20298767,0.00000000,0.00000000,0.00488281,0.00000000,0.02929688,-0.02929688,-2.98156738,-0.17699439,-0.17700195,-0.02441406
