frame_idx,camera_time_s,system_time_s,perf_counter_s,color_realsense_timestamp_ms,color_frame_number,color_video
0,0.02752614,1782397512.36653328,1329696.01341400,1782397512366.2715,1615,teach_record_20260625_222508_color.mp4
1,0.06181645,1782397512.40082359,1329696.04731240,1782397512399.4580,1616,teach_record_20260625_222508_color.mp4
2,0.09482336,1782397512.43383050,1329696.08040980,1782397512432.8818,1617,teach_record_20260625_222508_color.mp4
3,0.12826729,1782397512.46727443,1329696.11392340,1782397512466.1726,1618,teach_record_20260625_222508_color.mp4
4,0.16094160,1782397512.49994874,1329696.14793920,1782397512499.6052,1619,teach_record_20260625_222508_color.mp4
5,0.19420052,1782397512.53320765,1329696.17996150,1782397512533.0117,1620,teach_record_20260625_222508_color.mp4
6,0.22801638,1782397512.56702352,1329696.21357160,1782397512566.3796,1621,teach_record_20260625_222508_color.mp4
7,0.26068401,1782397512.59969115,1329696.24696840,1782397512599.5923,1622,teach_record_20260625_222508_color.mp4
8,0.29458737,1782397512.63359451,1329696.28041570,1782397512632.9556,1623,teach_record_20260625_222508_color.mp4
9,0.32766628,1782397512.66667342,1329696.31335050,1782397512666.2520,1624,teach_record_20260625_222508_color.mp4
10,0.35973644,1782397512.69874358,1329696.34639900,1782397512699.6931,1625,teach_record_20260625_222508_color.mp4
11,0.39433432,1782397512.73334146,1329696.37986920,1782397512733.0107,1626,teach_record_20260625_222508_color.mp4
12,0.42813969,1782397512.76714683,1329696.41410950,1782397512766.3816,1627,teach_record_20260625_222508_color.mp4
13,0.46125817,1782397512.80026531,1329696.44702680,1782397512799.7668,1628,teach_record_20260625_222508_color.mp4
14,0.49498916,1782397512.83399630,1329696.48069070,1782397512833.2661,1629,teach_record_20260625_222508_color.mp4
15,0.52843571,1782397512.86744285,1329696.51466180,1782397512866.4412,1630,teach_record_20260625_222508_color.mp4
16,0.55989790,1782397512.89890504,1329696.54647070,1782397512899.7771,1631,teach_record_20260625_222508_color.mp4
17,0.59425521,1782397512.93326235,1329696.57983810,1782397512933.1396,1632,teach_record_20260625_222508_color.mp4
18,0.62775469,1782397512.96676183,1329696.61353380,1782397512966.5879,1633,teach_record_20260625_222508_color.mp4
19,0.66097522,1782397512.99998236,1329696.64735180,1782397512999.9331,1634,teach_record_20260625_222508_color.mp4
20,0.69449925,1782397513.03350639,1329696.68045530,1782397513033.2512,1635,teach_record_20260625_222508_color.mp4
21,0.72891736,1782397513.06792450,1329696.71452610,1782397513066.5295,1636,teach_record_20260625_222508_color.mp4
22,0.76161957,1782397513.10062671,1329696.74750620,1782397513099.9902,1637,teach_record_20260625_222508_color.mp4
23,0.79477930,1782397513.13378644,1329696.78046800,1782397513133.3489,1638,teach_record_20260625_222508_color.mp4
24,0.82851386,1782397513.16752100,1329696.81411750,1782397513166.6804,1639,teach_record_20260625_222508_color.mp4
25,0.86178470,1782397513.20079184,1329696.84729950,1782397513200.0151,1640,teach_record_20260625_222508_color.mp4
26,0.89618301,1782397513.23519015,1329696.88167600,1782397513233.3894,1641,teach_record_20260625_222508_color.mp4
27,0.92787743,1782397513.26688457,1329696.91433200,1782397513266.7744,1642,teach_record_20260625_222508_color.mp4
28,0.96116495,1782397513.30017209,1329696.94704640,1782397513300.1697,1643,teach_record_20260625_222508_color.mp4
29,0.99450278,1782397513.33350992,1329696.98018400,1782397513333.4402,1644,teach_record_20260625_222508_color.mp4
30,1.02790284,1782397513.36690998,1329697.01431990,1782397513366.9072,1645,teach_record_20260625_222508_color.mp4
31,1.06125355,1782397513.40026069,1329697.04759450,1782397513400.2314,1646,teach_record_20260625_222508_color.mp4
32,1.09529495,1782397513.43430209,1329697.08110210,1782397513433.6997,1647,teach_record_20260625_222508_color.mp4
33,1.12892914,1782397513.46793628,1329697.11463030,1782397513466.8904,1648,teach_record_20260625_222508_color.mp4
34,1.16232395,1782397513.50133109,1329697.14822600,1782397513500.2129,1649,teach_record_20260625_222508_color.mp4
35,1.19406152,1782397513.53306866,1329697.18033430,1782397513533.6250,1650,teach_record_20260625_222508_color.mp4
36,1.22848678,1782397513.56749392,1329697.21420600,1782397513566.8943,1651,teach_record_20260625_222508_color.mp4
37,1.26185656,1782397513.60086370,1329697.24769360,1782397513600.2852,1652,teach_record_20260625_222508_color.mp4
38,1.29478002,1782397513.63378716,1329697.28043600,1782397513633.6975,1653,teach_record_20260625_222508_color.mp4
39,1.32924843,1782397513.66825557,1329697.31540000,1782397513667.0105,1654,teach_record_20260625_222508_color.mp4
40,1.36216116,1782397513.70116830,1329697.34778610,1782397513700.3601,1655,teach_record_20260625_222508_color.mp4
41,1.39518857,1782397513.73419571,1329697.38071220,1782397513733.6973,1656,teach_record_20260625_222508_color.mp4
42,1.42836332,1782397513.76737046,1329697.41390340,1782397513767.1548,1657,teach_record_20260625_222508_color.mp4
43,1.46073556,1782397513.79974270,1329697.44736440,1782397513800.4592,1658,teach_record_20260625_222508_color.mp4
44,1.49607944,1782397513.83508658,1329697.48160790,1782397513833.7808,1659,teach_record_20260625_222508_color.mp4
45,1.52804422,1782397513.86705136,1329697.51432150,1782397513867.2207,1660,teach_record_20260625_222508_color.mp4
46,1.56226969,1782397513.90127683,1329697.54794730,1782397513900.5588,1661,teach_record_20260625_222508_color.mp4
47,1.59457040,1782397513.93357754,1329697.58141280,1782397513933.8711,1662,teach_record_20260625_222508_color.mp4
48,1.62899113,1782397513.96799827,1329697.61459050,1782397513967.2356,1663,teach_record_20260625_222508_color.mp4
49,1.66262674,1782397514.00163388,1329697.64839850,1782397514000.6313,1664,teach_record_20260625_222508_color.mp4
50,1.69665527,1782397514.03566241,1329697.68217250,1782397514034.0627,1665,teach_record_20260625_222508_color.mp4
51,1.72819114,1782397514.06719828,1329697.71397410,1782397514067.2776,1666,teach_record_20260625_222508_color.mp4
52,1.76300478,1782397514.10201192,1329697.74854340,1782397514100.7317,1667,teach_record_20260625_222508_color.mp4
53,1.79563141,1782397514.13463855,1329697.78113290,1782397514134.0164,1668,teach_record_20260625_222508_color.mp4
54,1.82930160,1782397514.16830873,1329697.81524770,1782397514167.4146,1669,teach_record_20260625_222508_color.mp4
55,1.86200738,1782397514.20101452,1329697.84800190,1782397514200.8027,1670,teach_record_20260625_222508_color.mp4
56,1.89524102,1782397514.23424816,1329697.88149520,1782397514234.1038,1671,teach_record_20260625_222508_color.mp4
57,1.92936182,1782397514.26836896,1329697.91519470,1782397514267.6060,1672,teach_record_20260625_222508_color.mp4
